carparkID,processing-time,slotOccupancy
1,1586174400,107
1,1586174400,108
1,1586174400,101
1,1586174400,114
1,1586174400,108
1,1586174400,95
1,1586174400,104
1,1586174400,101
1,1586174400,115
1,1583060400,105
1,1583060400,98
1,1583060400,109
1,1583060400,107
1,1583060400,100
1,1583060400,100
1,1583060400,109
1,1583060400,110
1,1583060400,110
1,1583060400,122
1,1583060400,107
1,1583492400,98
1,1583492400,103
1,1583492400,115
1,1583492400,108
1,1583492400,125
1,1583492400,108
1,1583492400,102
1,1583492400,109
1,1583492400,106
1,1583492400,113
1,1583492400,111
1,1587902400,93
1,1587902400,107
1,1587902400,104
1,1587902400,111
1,1587902400,101
1,1587902400,110
1,1587902400,115
1,1587902400,104
1,1587902400,103
1,1587902400,110
1,1587902400,103
1,1587556800,105
1,1587556800,116
1,1587556800,118
1,1587556800,112
1,1587556800,108
1,1587556800,127
1,1587556800,102
1,1587556800,97
1,1587556800,110
1,1587556800,101
1,1587556800,105
1,1583924400,105
1,1583924400,105
1,1583924400,102
1,1583924400,104
1,1583924400,105
1,1583924400,107
1,1583924400,103
1,1583924400,98
1,1583924400,101
1,1583924400,104
1,1583924400,111
1,1583751600,107
1,1583751600,102
1,1583751600,109
1,1583751600,107
1,1583751600,110
1,1583751600,108
1,1583751600,106
1,1583751600,95
1,1583751600,111
1,1583751600,102
1,1583751600,114
1,1587556800,100
1,1587556800,102
1,1587556800,113
1,1587556800,111
1,1587556800,100
1,1587556800,108
1,1587556800,114
1,1587556800,106
1,1587556800,96
1,1587556800,111
